Date,search_volume
2020-08-28,130
2020-08-29,66
2020-08-30,109
2020-08-31,123
2020-09-01,139
2020-09-02,146
2020-09-03,167
2020-09-04,199
2020-09-05,126
2020-09-06,146
2020-09-07,131
2020-09-08,127
2020-09-09,104
2020-09-10,133
2020-09-11,122
2020-09-12,115
2020-09-13,177
2020-09-14,127
2020-09-15,123
2020-09-16,85
2020-09-17,100
2020-09-18,115
2020-09-19,134
2020-09-20,150
2020-09-21,114
2020-09-22,110
2020-09-23,110
2020-09-24,155
2020-09-25,99
2020-09-26,100
2020-09-27,118
2020-09-28,94
2020-09-29,110
2020-09-30,113
2020-10-01,77
2020-10-02,124
2020-10-03,82
2020-10-04,94
2020-10-05,79
2020-10-06,96
2020-10-07,81
2020-10-08,92
2020-10-09,111
2020-10-10,81
2020-10-11,112
2020-10-12,82
2020-10-13,106
2020-10-14,85
2020-10-15,119
2020-10-16,136
2020-10-17,87
2020-10-18,78
2020-10-19,97
2020-10-20,107
2020-10-21,190
2020-10-22,200
2020-10-23,139
2020-10-24,145
2020-10-25,144
2020-10-26,145
2020-10-27,158
2020-10-28,158
2020-10-29,130
2020-10-30,142
2020-10-31,135
2020-11-01,45
2020-11-02,61
2020-11-03,47
2020-11-04,56
2020-11-05,82
2020-11-06,84
2020-11-07,82
2020-11-08,64
2020-11-09,75
2020-11-10,59
2020-11-11,64
2020-11-12,63
2020-11-13,96
2020-11-14,61
2020-11-15,66
2020-11-16,69
2020-11-17,107
2020-11-18,135
2020-11-19,107
2020-11-20,101
2020-11-21,110
2020-11-22,114
2020-11-23,90
2020-11-24,181
2020-11-25,138
2020-11-26,143
2020-11-27,110
2020-11-28,79
2020-11-29,94
2020-11-30,100
2020-12-01,145
2020-12-02,98
2020-12-03,121
2020-12-04,116
2020-12-05,84
2020-12-06,141
2020-12-07,114
2020-12-08,102
2020-12-09,90
2020-12-10,78
2020-12-11,75
2020-12-12,82
2020-12-13,78
2020-12-14,89
2020-12-15,84
2020-12-16,91
2020-12-17,176
2020-12-18,146
2020-12-19,155
2020-12-20,161
2020-12-21,119
2020-12-22,80
2020-12-23,120
2020-12-24,109
2020-12-25,89
2020-12-26,138
2020-12-27,177
2020-12-28,139
2020-12-29,165
2020-12-30,149
2020-12-31,149
2021-01-01,66
2021-01-02,77
2021-01-03,159
2021-01-04,134
2021-01-05,89
2021-01-06,94
2021-01-07,122
2021-01-08,141
2021-01-09,126
2021-01-10,132
2021-01-11,200
2021-01-12,144
2021-01-13,103
2021-01-14,112
2021-01-15,102
2021-01-16,87
2021-01-17,87
2021-01-18,76
2021-01-19,73
2021-01-20,67
2021-01-21,84
2021-01-22,109
2021-01-23,80
2021-01-24,75
2021-01-25,65
2021-01-26,59
2021-01-27,58
2021-01-28,53
2021-01-29,103
2021-01-30,84
2021-01-31,66
2021-02-01,55
2021-02-02,47
2021-02-03,45
2021-02-04,68
2021-02-05,45
2021-02-06,69
2021-02-07,62
2021-02-08,125
2021-02-09,160
2021-02-10,86
2021-02-11,95
2021-02-12,113
2021-02-13,78
2021-02-14,92
2021-02-15,94
2021-02-16,104
2021-02-17,112
2021-02-18,127
2021-02-19,114
2021-02-20,145
2021-02-21,135
2021-02-22,177
2021-02-23,200
2021-02-24,146
2021-02-25,95
2021-02-26,118
2021-02-27,110
2021-02-28,99
2021-03-01,183
2021-03-02,118
2021-03-03,132
2021-03-04,119
2021-03-05,123
2021-03-06,101
2021-03-07,99
2021-03-08,120
2021-03-09,125
2021-03-10,128
2021-03-11,122
2021-03-12,129
2021-03-13,168
2021-03-14,150
2021-03-15,172
2021-03-16,162
2021-03-17,136
2021-03-18,126
2021-03-19,114
2021-03-20,147
2021-03-21,124
2021-03-22,153
2021-03-23,144
2021-03-24,139
2021-03-25,163
2021-03-26,120
2021-03-27,127
2021-03-28,110
2021-03-29,115
2021-03-30,124
2021-03-31,160
2021-04-01,83
2021-04-02,78
2021-04-03,78
2021-04-04,81
2021-04-05,91
2021-04-06,100
2021-04-07,128
2021-04-08,100
2021-04-09,74
2021-04-10,82
2021-04-11,72
2021-04-12,81
2021-04-13,81
2021-04-14,86
2021-04-15,81
2021-04-16,83
2021-04-17,97
2021-04-18,156
2021-04-19,103
2021-04-20,125
2021-04-21,85
2021-04-22,131
2021-04-23,200
2021-04-24,118
2021-04-25,102
2021-04-26,101
2021-04-27,97
2021-04-28,81
2021-04-29,77
2021-04-30,74
2021-05-01,56
2021-05-02,49
2021-05-03,56
2021-05-04,60
2021-05-05,57
2021-05-06,73
2021-05-07,61
2021-05-08,56
2021-05-09,66
2021-05-10,56
2021-05-11,55
2021-05-12,68
2021-05-13,97
2021-05-14,75
2021-05-15,63
2021-05-16,73
2021-05-17,107
2021-05-18,67
2021-05-19,200
2021-05-20,134
2021-05-21,101
2021-05-22,113
2021-05-23,131
2021-05-24,125
2021-05-25,97
2021-05-26,70
2021-05-27,68
2021-05-28,76
2021-05-29,74
2021-05-30,78
2021-05-31,65
2021-06-01,117
2021-06-02,119
2021-06-03,130
2021-06-04,116
2021-06-05,95
2021-06-06,107
2021-06-07,115
2021-06-08,149
2021-06-09,143
2021-06-10,121
2021-06-11,106
2021-06-12,124
2021-06-13,113
2021-06-14,120
2021-06-15,89
2021-06-16,102
2021-06-17,83
2021-06-18,94
2021-06-19,93
2021-06-20,92
2021-06-21,147
2021-06-22,200
2021-06-23,133
2021-06-24,119
2021-06-25,112
2021-06-26,97
2021-06-27,88
2021-06-28,115
2021-06-29,96
2021-06-30,81
2021-07-01,128
2021-07-02,102
2021-07-03,104
2021-07-04,114
2021-07-05,109
2021-07-06,99
2021-07-07,94
2021-07-08,108
2021-07-09,107
2021-07-10,76
2021-07-11,86
2021-07-12,86
2021-07-13,107
2021-07-14,97
2021-07-15,92
2021-07-16,111
2021-07-17,87
2021-07-18,89
2021-07-19,104
2021-07-20,127
2021-07-21,120
2021-07-22,97
2021-07-23,84
2021-07-24,95
2021-07-25,97
2021-07-26,200
2021-07-27,146
2021-07-28,136
2021-07-29,98
2021-07-30,94
2021-07-31,100
2021-08-01,140
2021-08-02,112
2021-08-03,127
2021-08-04,115
2021-08-05,107
2021-08-06,124
2021-08-07,140
2021-08-08,167
2021-08-09,139
2021-08-10,116
2021-08-11,146
2021-08-12,128
2021-08-13,144
2021-08-14,115
2021-08-15,143
2021-08-16,131
2021-08-17,110
2021-08-18,144
2021-08-19,139
2021-08-20,150
2021-08-21,133
2021-08-22,91
2021-08-23,121
2021-08-24,187
2021-08-25,138
2021-08-26,129
2021-08-27,125
2021-08-28,93
2021-08-29,140
2021-08-30,100
2021-08-31,119
2021-09-01,102
2021-09-02,116
2021-09-03,98
2021-09-04,132
2021-09-05,99
2021-09-06,126
2021-09-07,184
2021-09-08,200
2021-09-09,93
2021-09-10,91
2021-09-11,95
2021-09-12,100
2021-09-13,105
2021-09-14,105
2021-09-15,87
2021-09-16,111
2021-09-17,85
2021-09-18,102
2021-09-19,95
2021-09-20,180
2021-09-21,170
2021-09-22,127
2021-09-23,112
2021-09-24,140
2021-09-25,117
2021-09-26,121
2021-09-27,116
2021-09-28,129
2021-09-29,110
2021-09-30,111
2021-10-01,114
2021-10-02,96
2021-10-03,92
2021-10-04,124
2021-10-05,126
2021-10-06,139
2021-10-07,101
2021-10-08,131
2021-10-09,134
2021-10-10,115
2021-10-11,130
2021-10-12,144
2021-10-13,99
2021-10-14,132
2021-10-15,158
2021-10-16,125
2021-10-17,111
2021-10-18,155
2021-10-19,134
2021-10-20,199
2021-10-21,184
2021-10-22,134
2021-10-23,92
2021-10-24,124
2021-10-25,116
2021-10-26,119
2021-10-27,124
2021-10-28,122
2021-10-29,94
2021-10-30,122
2021-10-31,151
2021-11-01,149
2021-11-02,124
2021-11-03,138
2021-11-04,140
2021-11-05,142
2021-11-06,99
2021-11-07,93
2021-11-08,142
2021-11-09,151
2021-11-10,139
2021-11-11,103
2021-11-12,121
2021-11-13,118
2021-11-14,144
2021-11-15,133
2021-11-16,175
2021-11-17,155
2021-11-18,175
2021-11-19,151
2021-11-20,127
2021-11-21,118
2021-11-22,130
2021-11-23,158
2021-11-24,150
2021-11-25,149
2021-11-26,194
2021-11-27,175
2021-11-28,163
2021-11-29,127
2021-11-30,133
2021-12-01,60
2021-12-02,59
2021-12-03,66
2021-12-04,200
2021-12-05,133
2021-12-06,142
2021-12-07,90
2021-12-08,88
2021-12-09,87
2021-12-10,123
2021-12-11,77
2021-12-12,87
2021-12-13,93
2021-12-14,108
2021-12-15,90
2021-12-16,79
2021-12-17,58
2021-12-18,76
2021-12-19,64
2021-12-20,79
2021-12-21,71
2021-12-22,63
2021-12-23,63
2021-12-24,67
2021-12-25,66
2021-12-26,56
2021-12-27,64
2021-12-28,74
2021-12-29,62
2021-12-30,93
2021-12-31,51
